

2025-09-12T17:45:36.977Z,session_1757698948017_hartixo5j,,,,i want to have project very wuickly in 1 week,,,High,General Inquiry,well i want to have project very wuickly in 1 week,chatbot
2025-09-12T17:45:36.979Z,session_1757698948017_hartixo5j,,,,i want to have project very wuickly in 1 week,,,High,General Inquiry,well i want to have project very wuickly in 1 week,chatbot
2025-09-12T17:49:05.786Z,session_1757698948017_hartixo5j,,faheem@gmail.com,4561515615,i want to have project very wuickly in 1 week,,,Unknown,General Inquiry,ok well my mail is faheem@gmail.com and phone number is 456151561564,chatbot
2025-09-12T17:49:05.788Z,session_1757698948017_hartixo5j,,faheem@gmail.com,4561515615,,,,Unknown,General Inquiry,ok well my mail is faheem@gmail.com and phone number is 456151561564,chatbot
2025-09-13T00:06:34.062Z,test789,amazing,,,,,,Unknown,General Inquiry,this is amazing! I love your services,chatbot
2025-09-13T00:06:34.065Z,test789,amazing,,,,,,Unknown,General Inquiry,this is amazing! I love your services,chatbot
2025-09-13T00:39:12.345Z,session_1757723910785_g8uq37dxe,,,,i want build a webiste for my platform,,,Unknown,Web Development,i want build a webiste for my platform,chatbot
2025-09-13T00:39:12.349Z,session_1757723910785_g8uq37dxe,,,,i want build a webiste for my platform,,,Unknown,Web Development,i want build a webiste for my platform,chatbot
2025-09-13T00:41:42.469Z,session_1757723910785_g8uq37dxe,not giving you that,,,i want build a webiste for my platform,,,Unknown,General Inquiry,sorry i am not giving you that,chatbot
2025-09-13T00:41:42.470Z,session_1757723910785_g8uq37dxe,not giving you that,,,,,,Unknown,General Inquiry,sorry i am not giving you that,chatbot
